Chr	Start	End	Gene ID	Ortholog in rice	Phenotype class of QTL	DMR	TE superfamily	Hyper-/Hypomethylation	Expression change (log2FC)	π	Fst	XP-CLR	GWAS signal (100 kb)
scaffold_5	11218808	11223302	Seita.5G131300	OsHSP18.2|Oshsp18.0-CII	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.30 	1	0	0	0
scaffold_5	11221563	11226054	Seita.5G131400	OsHSP18.2|Oshsp18.0-CII	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	3.94 	1	0	0	0
scaffold_5	36656473	36664397	Seita.5G315500	HSP101|OsClpB-cyt|HSP100	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.93 	2	0	0	0
scaffold_5	37326804	37332821	Seita.5G323800	OsMY1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.02 	0	1	0	0
scaffold_5	40060361	40065893	Seita.5G362000	OsWRKY21	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.47 	0	1	0	0
scaffold_5	41415935	41424968	Seita.5G381300	qSH1|RIL1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.22 	0	1	0	2
scaffold_6	33750951	33760240	Seita.6G223300	qGW8|OsSPL16|GW8	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.96 	0	0	0	0
scaffold_6	33784159	33794059	Seita.6G223400	OsMADS7|OsMADS45	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	4.99 	0	0	0	1
scaffold_7	15747512	15754827	Seita.7G058600	An-1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/TcMar-Stowaway	Hyper methylation	1.74 	0	0	0	2
scaffold_7	19521522	19530206	Seita.7G091700	GIF1|OsCIN2|OsGIF1|WB1	Grain	Core DMR without TE covered	/	Hyper methylation	1.16 	0	0	0	0
scaffold_7	29023826	29028866	Seita.7G225000	TGW6	Seed	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-1.02 	0	0	0	0
scaffold_9	5315918	5323537	Seita.9G088400	OsBC1L4	Grain;PlantArchitecture	Core DMR without TE covered	/	Hyper methylation	-1.10 	2	0	0	0
scaffold_9	5390701	5395864	Seita.9G089200	OsTPKa	Grain;PlantArchitecture	Dispensable DMR with TE covered	Unknown	Hyper methylation	1.22 	1	1	0	0
scaffold_9	6648076	6656816	Seita.9G109300	OSH3	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	4.29 	0	0	0	0
scaffold_9	6675297	6688870	Seita.9G109500	OSH1|Oskn1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	3.86 	0	1	0	0
scaffold_9	6694787	6699940	Seita.9G109800	TAC3	Grain;PlantArchitecture	Dispensable DMR with TE covered	LTR/Gypsy	Hyper methylation	3.91 	0	0	0	0
scaffold_9	7104127	7111129	Seita.9G114900	OsCam2	Grain;PlantArchitecture	Core DMR with TE covered	LTR/Gypsy	Hyper methylation	3.07 	0	1	0	0
scaffold_9	7142071	7148610	Seita.9G115300	OsACT1|OsActin-1	Grain;PlantArchitecture	Dispensable DMR with TE covered	LTR/Gypsy	Hyper methylation	1.02 	0	1	1	0
scaffold_9	10070901	10083140	Seita.9G154300	OsSh1	Grain;Seed;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.33 	0	0	0	0
scaffold_9	35641802	35653739	Seita.9G308900	OsALYL1	PlantArchitecture	Core DMR without TE covered	/	Hyper methylation	1.82 	1	0	0	0
scaffold_9	45686897	45692873	Seita.9G394700	OsAAA-ATPase1	Seed	Dispensable DMR with TE covered	DNA/TcMar-Stowaway	Hyper methylation	-2.51 	0	0	1	1
scaffold_9	45822912	45830723	Seita.9G397000	EP	Seed	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.23 	0	0	0	0
scaffold_9	47715753	47722555	Seita.9G420600	OsKASI	Grain;Seed;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	3.10 	1	0	0	0
scaffold_9	48632134	48640432	Seita.9G432400	SSD1	Grain;Seed;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.73 	0	0	0	1
scaffold_9	48991016	48996206	Seita.9G437300	OsPYL6	Grain;Seed;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-1.16 	0	0	1	0
scaffold_9	54346972	54353522	Seita.9G511700	OsbHLH96	PlantArchitecture	Dispensable DMR with TE covered	LTR/Gypsy	Hyper methylation	3.21 	0	0	0	1
